id	title	imdbID	year	rtID	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsNumRotten	rtAllCriticsScore	rtTopCriticsRating	rtTopCriticsNumReviews	rtTopCriticsNumFresh	rtTopCriticsNumRotten	rtTopCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore	movie	distributor	genre	gross	theaters	days	distributor_Sony	distributor_Warner_Bros	distributor_Universal	distributor_Walt_Disney	distributor_20th_Century_Fox	distributor_Paramount	distributor_Miramax	distributor_MGM	distributor_Sony_Classics	distributor_New_Line	distributor_Lionsgate	distributor_IFC_Films	distributor_Strand	distributor_Magnolia	distributor_Fox_Searchlight	distributor_Orion	distributor_First_Run_Features	distributor_ThinkFilm	distributor_Regent_Releasing	distributor_Focus_Features	genre_Drama	genre_Comedy	genre_Documentary	genre_Action	genre_ThrillerSuspense	genre_Adventure	genre_Horror	genre_Romantic_Comedy	genre_Musical	genre_Black_Comedy	genre_Western	genre_ConcertPerformance	genre_Multiple_Genres	freq_ge0_l1	freq_ge1_l2	freq_ge2_l3	freq_ge3_l4	freq_ge4_l5	avg_rating	NrOfTopActors	NrOfTopDirectors	box_office
1124	on golden pond	82846	1981	on_golden_pond	7.5	21	19	2	90	0	4	3	1	75	3.7	4024	84	on golden pond	Universal	Drama	326614	197	325	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	26	11	7	1	1.44	3	0	118710777
1129	escape from new york	82340	1981	1006717-escape_from_new_york	6.8	45	37	8	82	0	4	2	2	50	3.4	15629	72	escape from new york	Avco Embassy	Action	1926035	476	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	11381096
1198	raiders of lost ark	82971	1981	veggietales-silly-little-thing-called-love	0	0	0	0	0	0	0	0	0	0	0	0	0	raiders of lost ark	Paramount Pictures	Adventure	1362289	567	451	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	14	29	36	14	2.66	0	0	230329080
1264	diva	82269	1981	1005973-diva	8.1	41	39	2	95	8	14	13	1	92	4	1807	86	diva	MGM	Thriller/Suspense	122614	28	122	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	5	3.45	0	0	2678103
1321	an american werewolf in london	82010	1981	american_werewolf_in_london	7.5	43	38	5	88	0	4	2	2	50	3.4	18421	76	an american werewolf in london	Universal	Horror	641105	305	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	11	24	58	3.65	0	0	20445527
1663	stripes	83131	1981	stripes	6.6	33	29	4	87	0	4	3	1	75	0	0	0	stripes	Columbia	Comedy	356011	257	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	9	39	49	3.67	1	0	83339362
1957	chariots of fire	82158	1981	chariots_of_fire	7.4	36	31	5	86	7.4	6	5	1	83	3.6	7456	77	chariots of fire	Warner Bros.	Drama	231626	236	297	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	26	3.78	0	0	55222653
1983	halloween ii	82495	1981	halloween_ii	4.3	30	8	22	26	4.4	5	1	4	20	3.3	16555	67	halloween ii	Universal	Horror	790205	480	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	16	53	96	51	2.99	0	0	20470309
2301	history of world part i	82517	1981	history-of-the-world-part-i1981	5.6	25	15	10	60	0	0	0	0	0	0	0	0	history of world part i	20th Century Fox	Comedy	282771	175	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	6	3.16	2	1	23253349
2639	mommie dearest	82766	1981	mommie_dearest	5.6	30	17	13	56	4.8	5	2	3	40	3.6	3417	78	mommie dearest	Paramount Pictures	Drama	446530	370	59	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	1.71	1	0	17988509
2872	excalibur	82348	1981	excalibur	7.3	25	20	5	80	0	3	1	2	33	3.4	11195	74	excalibur	Warner Bros.	Adventure	1870139	839	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2.83	1	0	25294365
2878	hell night	82511	1981	hell_night	4.5	6	3	3	50	0	1	0	1	0	3	927	45	hell night	Compass International	Horror	832000	108	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	26	132	369	349	3.43	0	0	2300000
2917	body heat	82089	1981	1002830-body_heat	8	36	35	1	97	8.4	5	5	0	100	3.5	2581	74	body heat	Warner Bros.	Thriller/Suspense	488921	436	101	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	15	22	16	3	2.16	0	0	23496500
2968	time bits	81633	1981	time_bandits	8	36	34	2	94	6.9	5	4	1	80	3.5	9753	74	time bits	Avco Embassy	Adventure	627136	640	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	8	31	46	33	3	1	1	37400000
2989	for your eyes only	82398	1981	for_your_eyes_only	6.2	35	25	10	71	6	5	3	2	60	3.3	10042	64	for your eyes only	Universal	Action	0	0	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	6	36	64	26	3.03	0	0	35780000
3014	bustin loose	82121	1981	bustin_loose	0	4	3	1	75	0	0	0	0	0	0	0	0	bustin loose	Universal	Comedy	2760000	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	13	39	121	116	3.35	0	0	17660000
3048	under rainbow	83254	1981	under_the_rainbow	0	4	0	4	0	0	2	0	2	0	3.1	194	46	under rainbow	Warner Bros.	Comedy	1074382	545	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	14	21	3.56	0	0	16188283
3734	prince of city	82945	1981	prince_of_the_city	7.3	16	15	1	93	0	1	1	0	100	3.9	431	82	prince of city	Warner Bros.	Drama	248704	192	110	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22	41	60	43	12	2.05	0	1	7840272
4396	cannonball run	82136	1981	cannonball_run	4.2	29	9	20	31	0	3	0	3	0	3.1	6545	59	cannonball run	20th Century Fox	Action	677752	426	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	6	42	97	3.87	0	0	57498710
8927	cannonball run	82136	1981	cannonball_run	4.2	29	9	20	31	0	3	0	3	0	3.1	6545	59	cannonball run	20th Century Fox	Action	677752	426	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	5	3.36	0	0	57498710
4443	outl	82869	1981	outland	5.8	22	13	9	59	0	3	2	1	66	0	0	0	outl	Warner Bros.	Action	2700000	761	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	8	25	83	180	3.79	1	0	9688586
4696	zorro gay blade	83366	1981	zorro_the_gay_blade	4.8	14	6	8	42	0	1	0	1	0	3.2	1667	60	zorro gay blade	20th Century Fox	Comedy	831895	343	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	7	16	34	3.64	0	0	5116749
4784	french lieutenants woman	82416	1981	french_lieutenants_woman	7.1	15	11	4	73	0	1	1	0	100	3.5	1859	67	french lieutenants woman	United Artists	Drama	966000	500	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	41	4.21	2	0	19400000
5039	dragonslayer	82288	1981	dragonslayer	6.1	22	18	4	81	0	1	1	0	100	3.2	8214	59	dragonslayer	Paramount Pictures	Action	2119732	800	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	7	13	5	2.83	0	0	5939000
5237	taps	83169	1981	taps	6	14	11	3	78	0	1	1	0	100	3.4	2747	63	taps	20th Century Fox	Drama	578669	543	96	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2.5	3	0	35856053
5427	caveman	82146	1981	caveman	4.1	15	3	12	20	0	2	1	1	50	3	1935	52	caveman	United Artists	Comedy	1000000	563	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	22	28	7	2.74	0	0	10352967
5439	sob	83015	1981	sob	7.1	14	14	0	100	0	0	0	0	0	0	0	0	sob	Paramount Pictures	Comedy	1413763	639	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	16	29	7	2.76	2	1	8623863
5540	clash of titans	82186	1981	clash_of_the_titans	5.8	37	24	13	64	0	2	1	1	50	3.4	10585	70	clash of titans	Warner Bros.	Action	34992	67	108	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	7	3.62	1	0	163192114
5555	wolfen	83336	1981	wolfen	5.8	22	16	6	72	0	1	1	0	100	3	988	45	wolfen	Warner Bros.	Horror	615228	300	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	41	74	3.8	0	0	8873042
5706	all marbles	81964	1981	all_the_marbles	0	0	0	0	0	0	0	0	0	0	0	0	0	all marbles	MGM		500000	511	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	4300000
5707	absence of malice	81974	1981	absence_of_malice	6.6	22	19	3	86	6.6	5	4	1	80	3.3	1000	55	absence of malice	Columbia	Drama	2166098	938	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	28	65	3.88	1	1	30331624
5712	blow out	82085	1981	blow_out	7.5	36	32	4	88	7.1	5	4	1	80	3.6	2727	74	blow out	Filmways Pictures	Thriller/Suspense	522000	242	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	6	5	3	0	0	13747234
5718	carbon copy	82138	1981	1003547-carbon_copy	0	1	0	1	0	0	0	0	0	0	0	0	0	carbon copy	Avco Embassy	Comedy	1100000	268	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	24	35	3.73	1	0	2843791
5723	continental divide	82200	1981	continental_divide	6.2	9	7	2	77	0	2	1	1	50	3	537	48	continental divide	Universal	Romantic Comedy	647643	459	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	16	19	19	3.11	0	0	10430647
5726	dead buried	82242	1981	dead_and_buried	6.2	11	8	3	72	0	0	0	0	0	0	0	0	dead buried	Avco Embassy		216166	83	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	58	106	3.79	0	0	216166
5727	deadly blessing	82245	1981	deadly_blessing	4.4	5	1	4	20	0	0	0	0	0	0	0	0	deadly blessing	United Artists		2800000	1000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	36	140	177	3.64	0	0	2800000
5729	endless love	82329	1981	endless_love	3.9	13	3	10	23	0	3	0	3	0	0	0	0	endless love	Universal	Drama	689000	337	52	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	13	16	3	2.61	1	0	23315700
5731	entity	82334	1981	entity	0	2	2	0	100	0	0	0	0	0	0	0	0	entity	20th Century Fox	Horror	63709	67	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	7	12	19	3.38	0	0	13277558
5732	eye of needle	82351	1981	eye_of_the_needle	6.5	13	11	2	84	0	1	1	0	100	3.4	963	61	eye of needle	United Artists	Thriller/Suspense	1589000	467	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	14	51	137	102	3.24	0	0	4389000
5742	first monday in october	82382	1981	first_monday_in_october	0	4	1	3	25	0	0	0	0	0	0	0	0	first monday in october	Paramount Pictures		924468	525	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	36	128	191	3.59	0	0	9434570
5744	four friends	82404	1981	four_friends	6.9	7	5	2	71	0	1	1	0	100	3.6	291	69	four friends	Filmways Pictures	Drama	29881	3	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	23	9	2.88	0	0	0
5755	happy birthday to me	82498	1981	happy_birthday_to_me	5.2	8	2	6	25	0	0	0	0	0	0	0	0	happy birthday to me	Columbia		0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	11	7	3.4	0	0	10609514
5756	heartbeeps	82507	1981	heartbeeps	1.6	5	0	5	0	0	0	0	0	0	0	0	0	heartbeeps	Universal	Comedy	407464	493	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3.62	0	0	407464
5763	lola	82671	1981	10002128-lola	8.1	6	6	0	100	0	1	1	0	100	3.9	529	82	lola			2150	2	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	1	2.5	0	1	103951
50898	lola	82671	1981	10002128-lola	8.1	6	6	0	100	0	1	1	0	100	3.9	529	82	lola			2150	2	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	4	3	2.41	0	1	103951
5764	looker	82677	1981	looker	4.4	17	5	12	29	0	2	0	2	0	3.2	1109	50	looker	Warner Bros.	Thriller/Suspense	0	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	29	24	15	1	1.76	0	0	3281232
5768	modern problems	82763	1981	modern_problems	0	3	0	3	0	0	0	0	0	0	0	0	0	modern problems	20th Century Fox	Comedy	1241189	797	31	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	20	24	19	2.95	0	0	22886688
5772	my dinner with re	82783	1981	my_dinner_with_andre	7.1	18	16	2	88	0	1	1	0	100	4	1441	85	my dinner with re	New Yorker		5697	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	3.21	0	0	15063
5775	night lights went out in georgia	82816	1981	night_the_lights_went_out_in_georgia	0	1	1	0	100	0	0	0	0	0	0	0	0	night lights went out in georgia	Avco Embassy		282156	75	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	29	3.77	0	0	8264117
5776	only when i laugh	82853	1981	1015639-only_when_i_laugh	4.9	6	3	3	50	0	1	0	1	0	3.1	189	39	only when i laugh	Columbia		519555	494	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	25782304
5777	pennies from heaven	82894	1981	1016119-pennies_from_heaven	7	24	20	4	83	4.3	5	1	4	20	3.3	851	58	pennies from heaven	MGM	Musical	520000	315	38	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	8	17	9	3.17	1	0	6200000
5781	private lessons	82948	1981	1016793-private_lessons	2.7	6	0	6	0	0	1	0	1	0	2.9	1236	38	private lessons	Jensen Farley Pictures	Comedy	863236	224	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	3	2	2	1.89	0	0	18064851
5845	pursuit of db cooper	82958	1981	pursuit_of_db_cooper	0	0	0	0	0	0	0	0	0	0	0	0	0	pursuit of db cooper	Universal	Adventure	650000	623	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	3.4	1	0	2104164
5846	raggedy man	82969	1981	raggedy_man	6.5	6	5	1	83	0	1	1	0	100	3.3	201	65	raggedy man	Universal	Drama	0	0	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	769000
5847	ragtime	82970	1981	ragtime	7.3	10	9	1	90	0	1	1	0	100	3.5	672	71	ragtime	Paramount Pictures	Drama	673959	442	94	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	11	3.69	2	1	17468158
5848	rich famous	82992	1981	1017530-rich_and_famous	4.9	9	5	4	55	0	1	0	1	0	3	151	38	rich famous	MGM		500000	350	59	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	2.75	1	0	13000000
5851	rollover	83006	1981	rollover	0	3	2	1	66	0	0	0	0	0	0	0	0	rollover	Warner Bros.	Drama	190611	232	52	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	19	3.76	1	0	10217873
5857	so fine	83099	1981	so_fine	0	4	3	1	75	0	1	1	0	100	2.9	107	15	so fine	Warner Bros.		0	0	66	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	31	102	113	3.38	0	0	9381808
5859	sourn comfort	83111	1981	1019482-southern_comfort	6.7	14	12	2	85	0	1	1	0	100	3.5	1184	72	sourn comfort	20th Century Fox		985630	450	45	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	4	3.17	0	0	2939174
5862	student bodies	83133	1981	student_bodies	3.2	6	1	5	16	0	0	0	0	0	0	0	0	student bodies	Paramount Pictures	Comedy	1582148	628	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1582148
5869	true confessions	83232	1981	true_confessions	7.5	6	6	0	100	0	1	1	0	100	3.3	674	55	true confessions	United Artists		420000	349	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	25	39	20	2.97	2	0	12200000
5915	victory	83284	1981	1022576-victory	5.7	6	4	2	66	0	2	2	0	100	3.5	2887	69	victory	Paramount Pictures	Action	1000000	383	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	33	4.07	1	1	6800000
5916	whose life is it anyway	83326	1981	whose_life_is_it_anyway	5.9	5	4	1	80	0	0	0	0	0	0	0	0	whose life is it anyway	MGM	Drama	1348576	615	54	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	21	106	81	3.52	0	0	2100000
5917	zoot suit	83365	1981	zoot_suit	0	3	1	2	33	0	0	0	0	0	0	0	0	zoot suit	Universal	Drama	136248	27	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	380302
7356	night crossing	82810	1981	night_crossing	0	3	3	0	100	0	0	0	0	0	0	0	0	night crossing	Walt Disney	Drama	850000	440	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	10	3.56	1	0	4500000
541	blade runner	83658	1982	replikator-cloned-to-kill	0	0	0	0	0	0	0	0	0	0	0	0	0	blade runner	Warner Bros.	Thriller/Suspense	8306	5		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	13	33	20	3.17	0	0	32656328
656	48 hrs	83511	1982	48_hrs	7.4	33	31	2	93	0	4	3	1	75	3.2	10471	61	48 hrs	Paramount Pictures	Action	476530	262	173	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	75936265
5049	48 hrs	83511	1982	48_hrs	7.4	33	31	2	93	0	4	3	1	75	3.2	10471	61	48 hrs	Paramount Pictures	Action	476530	262	173	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	75936265
