#Movie-id	freq_ge0_l1	freq_ge1_l2	freq_ge2_l3	freq_ge3_l4	freq_ge4_l5	avg_rating
137	0	0	1	2	1	3.12
139	0	0	1	0	0	2.5
140	0	6	13	28	10	2.89
141	6	20	62	215	188	3.38
143	0	0	0	0	1	4
144	1	0	11	41	27	3.31
145	7	26	67	195	88	3.1
146	0	5	8	4	0	2.15
147	1	3	14	54	41	3.38
148	0	0	5	5	2	3.04
149	0	0	2	9	13	3.67
150	3	16	98	422	533	3.67
151	3	8	34	126	97	3.35
152	0	0	2	6	9	3.68
153	22	107	239	309	93	2.68
154	0	1	5	31	52	3.79
155	0	1	7	6	10	3.23
156	1	1	6	7	7	3
157	3	13	21	34	15	2.68
158	16	47	103	143	44	2.66
159	0	3	5	29	26	3.47
160	19	62	116	83	18	2.28
161	0	6	33	171	188	3.58
162	0	1	11	31	103	3.94
163	3	16	77	198	173	3.36
164	0	4	15	31	33	3.3
165	7	25	119	337	317	3.4
166	2	3	8	6	12	3
167	0	0	0	3	0	3.17
168	10	37	85	127	52	2.78
169	14	42	37	16	2	1.81
170	7	22	58	116	75	3.08
171	0	0	3	13	18	3.74
172	16	52	107	142	48	2.64
173	26	74	173	130	40	2.4
174	7	15	17	10	3	1.92
175	2	10	20	67	83	3.47
176	0	0	3	23	42	3.76
177	1	3	6	20	9	3
178	0	0	1	4	5	3.65
179	1	3	6	7	1	2.42
180	3	8	34	138	154	3.56
181	22	22	11	3	5	1.44
182	0	0	3	6	1	3
183	0	1	3	9	2	3
184	0	1	2	3	3	2.94
185	14	62	194	248	80	2.74
186	8	37	86	100	30	2.61
187	0	2	6	13	12	3.29
188	0	6	12	31	24	3.18
189	0	0	0	3	1	3.38
190	0	5	2	15	17	3.46
191	1	7	18	13	3	2.39
193	20	61	78	38	11	2.06
194	0	2	12	55	95	3.73
195	0	3	12	27	9	2.95
196	9	47	116	152	36	2.63
197	0	0	1	0	2	3.5
198	2	8	26	93	94	3.45
199	0	3	5	17	34	3.63
200	0	2	0	0	1	2.17
201	1	2	1	5	1	2.4
202	0	0	4	5	4	3.23
203	1	9	26	47	27	3.04
204	11	28	54	43	10	2.3
205	0	0	3	13	5	3.4
206	1	2	6	2	6	2.74
207	3	4	21	45	34	3.2
208	43	107	244	283	111	2.63
209	0	1	6	4	4	3
210	0	2	3	7	5	3.15
211	0	0	0	2	13	4.03
212	2	2	7	2	2	2.2
213	0	2	2	7	32	3.95
214	0	1	2	7	22	3.97
215	1	3	8	71	156	3.95
216	4	27	44	128	74	3.12
217	1	4	3	4	1	2.15
218	1	5	18	34	15	2.97
219	0	0	3	0	1	2.88
220	0	1	0	4	0	2.8
222	1	3	17	38	33	3.28
223	12	9	56	232	429	3.78
224	0	6	37	93	74	3.35
225	1	11	37	89	36	3.06
226	0	0	1	0	0	2
227	0	6	23	29	9	2.78
228	0	1	3	1	3	3.12
229	0	1	7	23	26	3.46
230	0	1	13	70	76	3.64
231	52	109	209	328	256	2.92
232	0	0	3	36	107	4.05
233	0	5	11	24	36	3.36
234	2	6	11	9	1	2.19
235	1	10	44	144	270	3.73
236	5	10	64	120	64	3.12
237	2	7	18	47	17	2.97
238	0	2	3	7	1	2.62
239	4	12	23	39	17	2.77
240	0	0	5	3	1	2.67
241	0	0	4	7	2	3.04
242	0	0	9	12	7	3.16
243	1	1	3	1	0	1.83
244	1	0	3	2	3	3
245	0	0	1	3	2	3.25
246	2	3	10	38	119	3.9
247	1	6	17	76	137	3.75
248	0	4	9	9	2	2.58
249	0	1	9	35	56	3.77
250	1	1	8	13	3	2.92
251	0	1	1	1	1	2.75
252	3	10	32	96	49	3.13
253	3	15	76	297	361	3.59
254	0	0	5	4	0	2.61
255	1	9	4	3	1	1.86
256	13	45	100	96	12	2.38
257	1	1	17	29	11	2.99
258	3	4	19	8	1	2.16
259	0	3	7	18	6	2.93
260	13	15	55	268	1014	4.08
261	2	5	17	85	85	3.51
262	3	2	4	33	43	3.62
263	0	2	2	2	4	3.05
264	0	0	0	3	3	3.83
265	0	3	14	69	126	3.79
266	2	14	47	129	119	3.37
267	9	20	32	34	9	2.39
268	0	0	5	8	6	3.13
269	0	0	1	2	2	3.4
270	0	2	5	9	4	2.95
271	0	1	5	5	4	3.1
272	0	2	15	55	95	3.66
273	1	8	44	74	45	3.14
274	2	4	9	10	0	2.3
275	2	7	5	15	4	2.52
276	4	9	20	35	4	2.59
277	5	19	30	65	50	3.03
278	0	4	4	5	3	2.53
279	1	0	3	6	5	3.17
280	0	1	8	34	43	3.51
281	0	0	5	13	31	3.84
282	3	12	35	113	70	3.25
283	0	0	2	0	2	3.25
284	0	1	0	0	0	1.5
285	0	1	0	0	0	1
286	0	1	1	0	0	1.5
287	0	2	0	4	1	2.79
288	12	41	88	217	279	3.38
289	1	2	13	23	18	3.19
290	0	1	8	36	87	3.91
291	2	9	6	2	0	1.55
292	3	13	128	293	147	3.17
293	0	6	24	175	654	4.11
294	0	2	2	5	1	2.75
295	0	1	3	6	2	2.92
296	11	17	60	200	1249	4.24
297	0	1	0	1	1	2.67
298	0	0	0	1	7	4.06
299	0	3	2	24	38	3.75
300	0	6	24	167	196	3.65
301	0	0	2	7	2	3.14
302	0	0	2	16	24	3.82
303	3	11	43	85	33	2.96
304	0	2	2	1	3	2.81
305	0	6	18	31	5	2.82
306	0	1	9	51	145	4.05
307	1	4	13	52	146	3.95
308	1	3	10	53	115	3.85
309	0	2	0	0	4	3.42
310	0	3	2	1	0	1.92
312	4	6	6	7	3	2.17
313	1	1	11	11	3	2.72
314	0	0	5	24	63	3.84
315	10	23	81	82	26	2.61
316	14	29	117	294	260	3.3
317	9	36	99	151	63	2.83
318	1	7	27	179	1227	4.37
319	2	3	27	70	105	3.59
320	0	1	0	1	2	3.25
321	0	1	3	10	14	3.52
322	0	0	9	35	48	3.67
324	0	1	0	6	15	3.93
325	0	4	8	5	1	2.39
326	0	0	0	10	28	4.13
327	6	26	59	51	42	2.75
328	2	4	12	20	10	2.88
329	14	14	97	218	111	3.09
330	0	3	8	6	1	2.47
331	0	0	4	5	1	2.8
332	3	5	15	14	10	2.63
333	9	12	35	94	99	3.32
334	0	2	4	8	16	3.68
335	0	0	2	6	4	3.29
336	0	1	1	0	0	1.5
337	1	10	43	164	295	3.74
338	3	9	29	40	18	2.83
339	3	19	83	206	124	3.2
340	1	0	7	8	8	3.1
341	0	0	1	7	2	3.4
342	1	12	27	107	120	3.49
343	1	5	8	9	1	2.35
344	41	119	215	446	228	2.91
345	2	13	31	92	158	3.6
346	0	0	4	20	18	3.5
347	0	2	7	26	20	3.48
348	1	3	11	49	83	3.7
349	1	12	61	221	205	3.48
350	2	11	44	180	82	3.24
351	2	1	14	32	19	3.18
352	0	1	6	6	11	3.38
353	6	19	61	202	237	3.48
354	0	1	5	12	6	3.08
355	25	60	150	73	14	2.17
356	9	30	106	369	1054	3.93
357	8	20	70	303	330	3.53
358	0	4	9	22	14	3.09
359	0	1	1	1	0	2.17
360	0	7	18	16	2	2.45
361	1	1	22	53	28	3.24
362	3	12	33	53	30	2.94
363	0	0	1	5	11	4
364	8	29	115	347	533	3.6
365	2	2	12	31	16	3.09
366	0	8	15	23	18	2.93
367	28	73	251	473	232	2.99
368	5	17	78	215	162	3.29
369	0	3	3	15	10	3.18
370	17	42	123	192	103	2.91
371	0	2	13	32	11	3.05
372	2	11	32	112	54	3.15
373	0	1	3	29	50	3.75
374	13	34	71	44	8	2.21
375	0	0	0	5	0	3.2
376	0	6	44	109	32	3.08
377	11	57	197	518	358	3.23
378	2	5	6	8	4	2.5
379	6	31	68	79	24	2.6
380	10	42	189	410	346	3.28
381	1	4	15	30	28	3.28
382	2	11	63	78	27	2.84
383	0	2	19	59	31	3.27
384	0	2	5	8	1	2.62
385	0	0	0	2	3	3.8
386	0	0	4	6	2	3.04
387	0	2	8	7	2	2.63
388	0	0	2	6	8	3.5
389	0	0	3	0	2	3
390	1	1	7	18	14	3.3
391	0	1	4	3	1	2.61
392	0	0	0	3	5	4.06
393	12	49	46	19	0	1.75
394	0	0	0	1	4	4.1
395	0	0	0	1	0	3.5
396	1	0	0	1	0	1.75
397	0	0	1	1	0	2.5
398	0	0	0	0	1	4
401	0	0	1	0	2	3.83
402	0	0	0	2	0	3.25
404	0	0	0	0	1	5
405	4	21	36	26	10	2.37
406	0	0	1	0	1	3.75
407	2	2	13	22	19	3.17
408	0	0	1	2	3	3.33
409	0	0	4	8	2	3
410	14	41	114	201	92	2.9
412	0	3	15	37	48	3.5
413	5	14	47	67	17	2.76
414	0	6	16	11	1	2.4
415	2	13	15	23	8	2.52
416	1	4	8	11	2	2.6
417	0	1	7	18	28	3.56
418	1	3	2	4	2	2.58
419	7	23	39	32	3	2.24
420	21	62	123	139	43	2.53
421	0	2	6	15	10	3.2
423	0	3	21	37	14	3.02
424	1	2	17	16	2	2.57
425	0	1	7	7	6	3.1
426	2	2	19	33	15	2.97
427	4	20	18	19	7	2.24
428	0	1	12	47	88	3.76
429	3	13	22	16	1	2.16
430	0	3	5	6	0	2.25
431	1	2	13	89	181	3.83
432	9	44	79	100	18	2.5
433	0	3	9	5	0	2.32
434	18	53	173	245	74	2.75
435	13	64	108	103	25	2.39
436	3	3	13	16	6	2.68
437	1	5	7	7	2	2.41
438	0	3	7	14	2	2.69
440	0	8	44	191	145	3.45
441	1	3	20	98	128	3.69
442	14	47	154	242	107	2.88
443	0	0	2	3	6	3.5
444	4	2	11	6	4	2.37
445	0	4	12	10	4	2.67
446	0	0	2	18	55	3.99
447	0	0	5	1	1	2.57
448	0	2	10	25	39	3.62
449	0	2	2	6	12	3.41
450	3	1	12	31	15	3.08
451	0	0	3	7	7	3.38
452	0	0	1	3	6	3.75
453	0	1	1	9	3	3.11
454	2	8	74	259	203	3.43
455	9	39	106	97	21	2.5
456	0	0	1	12	30	4.02
457	1	5	73	356	612	3.77
458	0	0	5	8	4	3.12
459	2	5	15	23	3	2.56
460	4	5	4	4	2	1.89
461	1	1	3	9	10	3.27
462	0	1	2	3	0	2.58
463	0	1	6	5	2	2.71
464	0	9	29	25	6	2.57
465	0	2	4	7	7	3.15
466	17	38	108	174	71	2.83
467	0	1	2	3	2	2.94
468	0	6	31	90	54	3.29
469	0	1	5	19	15	3.4
470	4	1	5	1	0	1.55
471	1	3	20	109	188	3.78
472	0	2	5	7	1	2.53
473	6	11	16	17	6	2.3
474	0	4	37	175	195	3.58
475	0	1	9	73	161	3.93
476	0	1	0	2	0	2.33
477	0	0	11	29	40	3.55
478	0	1	5	6	2	2.82
479	0	3	10	17	7	2.97
480	11	54	196	591	596	3.43
481	0	2	22	67	55	3.37
482	1	1	12	35	28	3.32
483	0	1	1	7	7	3.56
484	3	4	3	4	0	1.79
485	16	56	149	174	56	2.65
486	3	1	7	12	2	2.52
487	0	3	6	5	3	2.65
488	0	0	3	6	9	3.53
489	1	8	27	21	3	2.47
490	0	1	13	33	20	3.17
491	0	10	21	74	29	3.1
492	1	0	8	36	58	3.65
493	0	1	9	32	45	3.61
494	3	12	46	103	44	3.05
495	0	1	5	8	9	3.37
496	0	2	1	4	6	3.38
497	0	2	26	103	184	3.82
498	1	0	5	11	2	2.84
499	0	0	3	8	0	3
500	18	58	198	483	288	3.15
501	0	3	4	18	32	3.75
502	8	33	39	21	3	1.96
503	0	0	2	3	0	2.8
504	0	1	9	15	8	3.05
505	1	8	10	13	4	2.47
506	2	2	5	17	27	3.52
507	0	1	17	57	57	3.55
508	3	11	39	220	333	3.71
509	2	14	39	148	233	3.67
510	0	1	3	6	1	2.86
511	0	4	5	7	7	2.93
512	1	1	11	16	9	2.97
513	1	2	3	9	4	2.84
514	0	6	14	42	38	3.36
515	0	0	12	49	153	3.96
516	1	2	23	37	16	3.03
517	1	5	31	60	22	2.97
518	2	8	17	25	7	2.64
519	14	43	61	41	3	2.05
520	12	54	110	221	131	3
521	0	0	10	17	14	3.37
522	0	1	10	19	29	3.53
523	0	0	2	8	17	3.85
524	2	4	21	82	81	3.52
525	0	0	1	3	4	3.5
526	0	1	1	1	0	2.33
527	6	8	38	197	921	4.17
528	0	3	5	6	1	2.47
529	0	1	13	82	150	3.83
530	0	0	1	0	1	3.25
531	1	8	20	79	77	3.48
532	3	8	30	54	42	3.15
533	4	8	23	41	15	2.79
534	0	1	5	27	59	3.85
535	0	4	11	43	98	3.81
536	0	2	4	10	7	3.22
537	1	4	14	31	32	3.27
538	1	3	13	33	62	3.63
539	9	41	120	315	264	3.27
540	4	17	40	44	6	2.46
541	3	15	55	203	744	4.08
542	7	7	19	29	14	2.7
543	2	14	71	132	97	3.22
544	3	8	15	15	4	2.39
545	0	1	0	1	0	2.25
546	19	68	61	36	13	1.96
547	0	5	8	8	6	2.7
548	2	7	32	28	5	2.56
549	1	0	5	11	26	3.71
550	2	4	22	25	22	3.03
551	1	12	46	210	373	3.8
552	1	20	77	173	82	3.1
553	0	7	25	161	171	3.63
554	0	1	1	3	0	2.5
555	0	6	29	123	262	3.83
556	0	0	4	14	30	3.81
558	1	7	14	22	8	2.71
559	0	0	1	0	0	2
560	0	0	0	0	1	4
561	0	0	1	2	2	3.4
562	3	4	19	39	95	3.66
563	0	0	2	3	4	3.39
564	2	2	3	2	0	1.72
565	1	3	9	14	12	3.08
566	0	0	0	5	0	3.1
567	0	1	3	18	14	3.53
568	0	0	0	3	4	4.07
569	0	4	13	15	7	2.77
570	0	0	2	5	2	3.11
571	0	0	1	2	3	3.33
572	0	0	1	0	0	2.5
573	0	0	2	6	3	3.45
574	1	0	10	18	22	3.32
575	7	7	14	35	13	2.78
577	1	8	9	9	1	2.25
579	0	0	1	1	1	3
580	0	1	3	7	3	3.07
581	1	0	1	15	37	3.98
582	0	0	0	2	1	3.67
583	0	0	1	1	10	4.04
585	20	25	65	85	29	2.57
586	29	90	239	414	219	2.95
587	11	51	153	324	267	3.2
588	11	28	98	350	429	3.52
589	5	29	90	361	785	3.81
590	14	26	105	329	478	3.6
591	0	1	0	0	0	1.5
592	5	26	131	462	441	3.48
593	12	17	47	294	1061	4.05
594	6	13	55	196	222	3.53
595	15	29	115	294	335	3.43
596	4	17	45	148	156	3.43
597	25	57	196	423	310	3.17
598	0	0	1	3	7	3.82
599	0	1	9	35	96	3.94
600	0	1	4	2	3	3
602	0	1	1	3	4	3.28
603	0	4	6	6	4	2.73
605	1	2	30	50	27	3.1
606	4	4	13	10	8	2.54
608	6	21	56	213	798	4.02
609	2	10	15	10	6	2.36
610	1	8	39	70	43	3.14
611	2	10	13	12	7	2.49
612	3	6	8	8	3	2.25
613	1	2	9	17	18	3.2
614	0	1	1	3	1	2.75
615	0	1	2	2	9	3.82
616	6	9	31	86	60	3.2
617	0	0	2	8	12	3.84
618	0	3	1	4	1	2.61
619	1	5	3	8	0	2.24
620	0	0	0	2	1	3.33
621	0	0	1	4	5	3.65
623	0	0	1	2	0	2.83
624	0	0	1	0	0	2.5
625	0	0	0	0	1	4
626	1	2	5	0	0	1.75
627	0	0	9	21	24	3.6
628	0	3	18	83	189	3.81
629	0	0	0	1	1	4.25
630	0	0	0	3	0	3.33
631	8	7	16	8	2	1.95
632	0	0	1	1	6	3.81
633	0	0	2	3	2	3.21
634	0	5	1	1	0	1.5
635	0	1	1	6	9	3.53
637	3	8	34	38	11	2.69
638	0	1	1	8	8	3.42
639	0	3	11	14	3	2.69
640	0	8	18	14	4	2.43
641	0	0	2	0	1	3
643	0	0	1	0	0	2.5
645	0	0	1	2	7	3.85
647	0	4	23	79	77	3.43
648	21	43	178	523	334	3.24
649	0	0	0	1	2	4
650	0	2	3	13	7	3.2
651	1	0	0	1	0	1.75
652	0	2	1	0	0	1.5
653	3	25	103	200	78	2.99
656	2	5	9	9	1	2.33
658	1	0	0	0	0	0.5
659	0	0	1	6	11	3.86
660	0	0	2	2	0	2.75
661	1	16	35	128	88	3.29
662	1	4	14	24	13	2.92
663	0	4	14	27	36	3.41
664	0	0	1	1	1	3.17
665	1	1	3	14	45	4
666	0	0	1	9	3	3.27
667	1	7	3	6	0	1.97
668	0	0	2	3	29	4.24
670	1	0	2	2	22	4.19
671	3	5	11	39	89	3.69
673	17	57	129	102	23	2.38
674	4	12	30	39	27	2.87
678	1	0	2	15	76	4.08
679	0	0	1	1	1	3.33
680	0	0	8	16	22	3.61
681	0	0	0	2	9	4.14
682	0	0	0	1	0	3.5
683	0	0	0	1	0	3
685	0	2	2	3	4	3.18
687	0	0	2	2	0	2.62
688	7	13	34	24	2	2.2
690	0	0	0	1	0	3.5
691	1	3	9	12	8	2.89
692	2	4	9	8	1	2.23
693	0	0	0	0	1	4.5
694	0	5	12	17	8	2.79
695	0	1	11	6	4	2.68
696	0	0	2	1	0	2.67
697	1	3	16	10	5	2.61
698	0	1	0	0	0	1.5
700	0	1	6	10	5	3.07
701	0	0	1	0	2	4
702	0	0	2	5	8	3.67
703	0	3	3	3	0	2.22
704	2	9	17	10	1	2.21
705	0	1	1	4	5	3.32
706	0	0	2	0	0	2.25
707	2	5	12	31	19	3.01
708	2	19	50	151	111	3.25
709	1	1	15	31	20	3.23
710	1	4	7	6	1	2.29
711	3	10	18	12	2	2.14
712	0	0	1	3	3	3.57
713	0	0	1	1	1	3
714	0	2	14	44	107	3.95
715	0	1	2	5	11	3.63
716	0	1	3	3	3	3.1
717	1	0	1	2	0	2.38
718	0	4	7	16	20	3.38
719	7	27	59	90	28	2.72
720	4	2	11	41	199	4.11
722	0	0	2	3	4	3.39
724	2	22	54	106	34	2.87
725	0	2	9	15	1	2.74
726	0	0	3	4	1	2.94
727	0	0	1	0	1	3.25
728	0	1	4	25	43	3.69
729	0	0	0	0	3	4.17
730	0	0	0	0	1	4
731	0	1	8	6	2	2.68
733	8	29	133	371	360	3.42
734	0	0	0	0	2	4
735	2	3	3	14	27	3.58
736	18	84	240	388	151	2.86
737	14	44	42	18	2	1.79
741	2	5	28	98	209	3.84
742	2	7	18	19	10	2.65
743	5	20	55	67	17	2.62
744	0	0	0	0	1	4
745	6	5	15	86	366	4.09
746	0	0	1	4	5	3.5
747	2	7	11	11	0	2.19
748	0	5	12	61	33	3.25
750	2	5	28	153	654	4.23
751	0	0	2	2	5	3.67
753	1	0	1	3	4	3.06
754	1	1	2	2	0	2.25
755	0	0	0	1	1	3.5
756	0	0	0	2	2	3.88
757	1	2	0	4	5	3.08
759	0	0	0	2	9	3.95
760	0	0	7	14	26	3.65
761	4	16	34	29	9	2.42
762	17	76	114	60	5	2.09
763	0	0	0	0	1	4
764	0	1	2	6	3	3.12
765	4	9	53	62	17	2.74
766	0	2	5	25	19	3.32
767	0	0	2	4	3	3.39
769	0	0	0	1	6	4
771	0	0	1	2	5	4
774	0	0	0	1	0	3
775	0	1	0	4	0	2.8
778	2	7	44	198	614	4
779	1	2	4	2	2	2.32
780	48	113	283	520	370	3.04
781	0	1	15	32	22	3.27
782	3	20	23	45	15	2.63
783	7	18	61	119	67	3.02
784	19	78	188	192	85	2.66
785	7	15	55	147	67	3.1
786	8	56	157	184	62	2.71
788	30	82	211	221	53	2.51
789	0	0	0	1	1	3.75
791	0	0	0	1	0	3
792	0	0	0	0	1	4
793	0	0	0	2	0	3
795	0	0	0	0	1	4
796	0	0	0	3	0	3
798	4	12	45	37	7	2.49
799	1	6	25	95	77	3.41
800	0	1	5	38	97	3.94
801	1	5	18	14	11	2.77
802	2	22	74	171	85	3.14
803	0	1	4	5	9	3.34
804	0	4	19	28	13	2.88
805	1	4	35	100	130	3.52
806	0	1	3	8	6	3.31
807	0	1	0	3	3	3.36
808	0	2	10	7	2	2.6
809	0	1	6	13	2	2.8
810	17	26	11	7	1	1.44
813	0	2	4	4	0	2.2
814	0	0	0	1	0	3.5
815	0	0	1	0	0	2
818	6	19	27	32	7	2.34
820	0	0	1	0	1	3.75
821	0	0	0	0	1	4
823	0	0	1	2	1	3.12
824	0	1	2	3	7	3.62
828	0	3	11	14	1	2.59
829	1	11	10	25	9	2.76
830	4	13	56	76	27	2.84
831	0	0	1	2	7	3.9
832	1	15	87	256	135	3.24
833	5	6	17	14	4	2.36
834	1	1	1	1	0	1.62
835	0	3	5	17	9	3.15
836	3	17	49	72	18	2.72
837	4	10	25	80	56	3.23
838	2	2	12	57	101	3.68
839	3	14	29	36	14	2.66
840	2	3	5	6	3	2.42
841	0	0	2	6	12	3.9
842	4	6	14	19	5	2.49
844	0	1	1	2	0	2.25
845	0	0	0	0	1	4.5
846	1	2	0	2	5	3.05
847	0	1	0	1	0	2
848	0	2	3	16	23	3.52
849	3	44	70	70	24	2.51
850	0	1	1	5	9	3.5
851	0	2	6	22	20	3.32
852	2	19	59	137	55	3.01
853	0	0	0	1	0	3
858	1	10	43	131	949	4.34
860	0	0	0	5	3	3.5
861	1	1	10	27	34	3.47
862	0	0	0	5	4	3.56
864	0	0	2	0	1	3.17
865	0	0	1	1	0	2.75
866	0	3	14	76	130	3.8
867	4	9	2	2	0	1.26
868	0	0	1	0	0	2
869	0	1	3	0	2	2.92
870	2	4	12	1	0	1.76
872	0	1	0	0	3	3.25
875	0	0	2	4	5	3.45
876	1	0	4	3	1	2.61
877	0	0	0	3	0	3
879	0	7	37	26	10	2.65
880	8	35	66	38	13	2.24
881	3	6	8	7	3	2.24
882	0	4	6	9	6	2.84
884	0	0	0	2	0	3.25
885	2	4	7	3	3	2.34
886	0	9	12	23	9	2.75
887	0	1	2	0	0	1.83
888	7	6	8	6	1	1.77
889	0	0	0	0	1	4
891	7	9	12	7	3	2
892	1	1	3	14	19	3.51
893	0	0	1	6	7	3.68
896	0	1	0	3	5	3.56
897	0	1	1	6	10	3.72
898	0	3	7	47	124	4.05
899	2	3	20	67	207	4.01
900	1	1	11	24	58	3.65
901	0	1	7	15	18	3.46
902	2	2	18	112	169	3.8
903	2	2	33	120	369	4
904	1	3	13	118	477	4.18
905	0	0	3	30	97	4.1
906	0	0	4	15	44	3.98
907	0	1	2	3	12	3.72
908	2	1	15	99	398	4.14
909	0	2	5	56	121	3.99
910	1	4	13	86	265	4.06
911	0	0	6	43	107	3.96
912	3	8	20	123	602	4.23
913	0	2	6	93	292	4.12
914	3	7	17	89	197	3.88
915	1	2	11	48	102	3.87
916	0	0	6	40	136	4.08
917	0	0	2	12	18	3.73
918	1	1	4	9	25	3.71
919	4	15	60	236	459	3.83
920	6	21	36	131	263	3.69
921	0	2	0	22	30	3.71
922	0	1	6	52	165	4.15
923	5	9	38	135	457	4.04
924	9	33	80	211	564	3.85
925	0	0	0	0	1	4
926	0	0	5	14	141	4.27
927	0	1	3	6	26	3.88
928	0	0	3	40	120	4.08
929	0	0	1	14	18	3.76
930	0	2	9	32	149	4.04
931	0	0	4	44	51	3.75
932	1	0	7	19	49	3.76
933	0	2	7	52	117	3.9
934	0	3	12	53	45	3.48
935	0	0	0	6	13	4.08
936	0	0	3	11	32	3.98
937	0	0	1	6	15	4
938	1	2	8	23	31	3.53
939	1	0	1	2	2	2.92
940	0	2	11	38	81	3.83
941	0	0	2	13	13	3.62
942	0	0	3	23	59	4.01
943	0	1	2	10	31	3.93
944	0	0	0	12	19	3.92
945	0	0	3	9	30	3.96
946	0	0	0	10	43	4.19
947	0	0	3	13	35	4.05
948	0	0	3	14	30	3.84
949	0	1	2	14	32	3.87
950	0	0	5	19	96	4.15
951	0	1	2	24	91	4.11
952	0	3	6	32	40	3.56
953	3	9	24	110	364	4.02
954	0	1	7	38	156	4.11
955	1	7	12	33	92	3.87
956	0	1	0	3	3	3.5
957	0	0	1	2	1	3.38
958	0	0	2	1	0	2.67
